"tampon","initial_slopes","lower_ci","upper_ci","estimated_concentration","estimated_concentration_lower_ci","estimated_concentration_upper_ci"
"TP10",-6.267,-6.153,-6.371,0.571442714326348,0.596251246543226,0.549711851210719
"TP24",10.51,9.853,11.188,297.282264161333,232.702312956328,382.769389963868
"TP34",11.432,11.01,11.864,419.218847795102,358.194571701469,492.472064320479
"TP42",2.427,0.949,4.587,14.6060001242541,8.41866251515391,32.6764824838418
"TP48",12.86,10.289,15.707,713.894440705695,273.772044977397,2063.30437951151
"TP50",5.318,5.109,5.535,42.9125379000706,39.6960322719884,46.5282266072265
